idRestaurant,name,borough,buildingnum,street,zipcode,phone,cuisineType,inspectionDate,violationCode,violationDescription,criticalFlag,score,grade
40373938,IHOP,BRONX,5655,BROADWAY,10463,7185494565,American,2016-08-16,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,
41217775,S. WAN CAFE,MANHATTAN,85,ELDRIDGE STREET,10002,2129668269,Chinese,2013-09-25,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,
40808056,FEI TENG BAKERY,BROOKLYN,4007,9 AVENUE,11232,7188715889,Bakery,2014-07-17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A
40585040,CAFE RAKKA,MANHATTAN,81,ST MARKS PLACE,10003,2129829166,Mediterranean,2014-05-29,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A
40694764,MANNY'S GRILL,BROOKLYN,1089,GRAND STREET,11211,7184868225,American,2016-08-09,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,
41599815,MIKA JAPANESE CUISINE & BAR,MANHATTAN,150,CENTRE STREET,10013,2129663838,Chinese/Japanese,2013-04-04,09B,Thawing procedures improper.,Not Critical,7,A
40991266,ITALIANISSIMO RISTORANTE,MANHATTAN,307,EAST   84 STREET,10028,2126288603,Italian,2014-11-20,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,0,
40401971,TJ BYRNE'S BAR,MANHATTAN,77,FULTON STREET,10038,2124064551,Irish,2014-06-19,,,Not Applicable,0,
41521807,SARGE'S,MANHATTAN,548,3 AVENUE,10016,2126790442,Delicatessen,2015-10-14,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,23,B
40553581,BOSTON MARKET,BRONX,337185,EAST TREMONT AVENUE,10461,7188240440,Chicken,2013-10-24,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A
40835712,FIRENZE,MANHATTAN,1594,2 AVENUE,10028,2128619368,Italian,2015-02-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,34,
50000510,JERUSALEM STEAKHOUSE,BROOKLYN,1319,AVENUE J,11230,7182588899,Jewish/Kosher,2014-03-03,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,6,A
40551765,MIKES PIZZA,QUEENS,7175,YELLOWSTONE BOULEVARD,11375,7187933464,Pizza,2014-12-02,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,
40857838,DYLAN'S CANDY BAR,MANHATTAN,1011,3 AVENUE,10065,6467350078,"Ice Cream, Gelato, Yogurt, Ices",2016-05-12,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,
50016731,Malt and Mold,MANHATTAN,362,2ND AVE,10010,6462380272,Not Listed/Not Applicable,2016-03-02,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A
50005405,XAI XAI WINE BAR,MANHATTAN,365,W 51ST ST,10019,2125419241,American,2015-06-23,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,22,
41641202,CHEN YUAN CHINESE FOOD,BROOKLYN,714,KNICKERBOCKER AVENUE,11221,7189192542,Chinese,2015-02-17,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,0,
41576836,MADISON DELI,MANHATTAN,420,MADISON AVENUE,10017,2123086140,American,2015-04-10,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,
50001089,BLANCA/SEVERED HEADS,BROOKLYN,261,MOORE,11206,7184171118,Continental,2013-09-12,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,B
41324345,KAM PO,BROOKLYN,2018,BEDFORD AVENUE,11226,7186932688,Chinese,2013-10-16,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A
41668932,LOVE 69,BROOKLYN,1307,AVE Z,11235,7184274774,American,2013-03-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,25,B
