idRestaurant,inspectionDate,violationCode,violationDescription,criticalFlag,score,grade,idInspection
40373938,2016-08-16,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,,b39552b0-4dc4-44e7-8b5a-50e5e7adacf7
41217775,2013-09-25,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,,1fa5617a-7100-4680-ac8a-bfbaf5edec58
40808056,2014-07-17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,c8dac3a4-b876-4f5b-8431-e4ef75644681
40585040,2014-05-29,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,6781624a-471b-452b-9813-9856f9ce0d86
40694764,2016-08-09,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,d63425fb-d1e0-4737-9b76-7d5938d568cf
41599815,2013-04-04,09B,Thawing procedures improper.,Not Critical,7,A,baf4cefa-b7f7-4423-a062-327297dc2c1a
40991266,2014-11-20,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,0,,c2f32fdb-4164-413b-8e84-56ede26320dc
40401971,2014-06-19,,,Not Applicable,0,,161ad41a-1be8-47d8-95d1-691cebf14389
41521807,2015-10-14,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,23,B,593bd904-482b-413a-962e-97b13081d84d
40553581,2013-10-24,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,5ab3125f-5ba6-4f81-9c50-b1eef718cd50
40835712,2015-02-12,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,34,,b40b5b67-dbe5-4643-b1dd-292d1472443c
50000510,2014-03-03,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,6,A,6d2c20f2-d82d-42d1-a87b-c1e8e414fc9d
40551765,2014-12-02,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,,028028f2-5b57-452e-8e57-5041da3f834e
40857838,2016-05-12,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,,9d73ec98-1c07-49f0-970f-4c95903f5f88
50016731,2016-03-02,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,e59c798f-281f-4a65-aeb6-f1e833971e02
50005405,2015-06-23,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,22,,d9f5beca-1f01-4bc4-9e54-6c58118f83ab
41641202,2015-02-17,22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",Not Critical,0,,b82d3c40-f500-4627-9e53-7e3a531f9efa
41576836,2015-04-10,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,,3f98aff3-3453-484d-b87d-04e1139f2776
50001089,2013-09-12,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,B,1c7f9558-b008-425f-932c-20f886c57760
41324345,2013-10-16,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,6c359e85-6df7-43f0-96d4-75538bd7373d
41668932,2013-03-21,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,25,B,0c374725-22fe-4ad1-96f4-abf77e7ca8b5
40678235,2015-08-06,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,19,,05dfb1c8-e8f4-4592-ad1c-2ef87a1d718e
50001516,2015-02-04,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,,6ba42038-ab0a-4502-bc49-14be2474a6db
40396889,2015-07-13,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,c6539fc4-895a-44b0-a3bc-5d13ac0550e4
50006381,2015-09-21,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,502688a1-a403-4a10-8547-6bddf005a18b
41279543,2015-11-17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,7871949c-2045-4a70-a4ca-576df949fe79
40845757,2013-09-26,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,32,,1103ac82-5510-4b71-ac43-a66aa57e2c93
40754552,2013-02-07,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,33,,fc69f1a1-aff7-46ae-9dc2-f093f23b885f
40943583,2016-06-02,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,11,A,9b15d201-87b7-41fd-a44e-aa98cf786b2a
50033842,2015-09-02,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Critical,80,,8d006552-7d78-4e7b-a5ea-deb6762a2d8c
50036924,2016-09-14,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,,e7131f36-e501-4d11-bd29-04c737fbc123
50008594,2014-11-28,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,20,,86e9ccce-a3a8-4b6c-96ce-8c9e2d0a5abf
50016598,2016-03-31,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,7ff6cbb5-9b37-48a1-8233-1a122f8fab1a
41563445,2013-12-04,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,44,,40584af8-7a5b-4f19-97f3-3292b0cd47ea
41639772,2015-10-08,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11,A,b6028315-21ec-4d7a-bd71-cb610c443bfe
41158252,2015-01-07,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,18,,6d00cdf8-5283-4fb0-9eda-40d823f18ae5
41247222,2014-05-10,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,0f684ff6-e4c5-4dcd-baf4-dd996c0c326a
41252528,2015-04-10,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,55,,7e25eeba-fcb1-4745-a153-d11751911f95
50005707,2015-09-14,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,42,,adb82fa5-aaa8-4b17-bac3-92d1dde0abc2
41624530,2015-04-09,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",Not Critical,10,A,35a31938-08e4-4782-9e9e-b48d977e8c1a
40947038,2015-05-28,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,51b8de17-ba20-410d-bda4-e77bccdb8164
40403579,2013-10-09,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,a5bde583-ea9c-4bbb-9f01-aeeaa14f75eb
40831075,2015-07-30,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,ee0c4aa0-0568-4602-8364-12358d2f3d17
41139066,2016-10-05,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,35,,e4ee9392-4aaa-45d9-a68c-260651a3643d
41503714,2016-01-25,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,6,A,93d2d168-8fa7-46bd-b5cf-edc63dd8c0a1
50006206,2015-09-22,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,,5b0d07b2-0e76-4784-9fcc-3142fb2cf9d0
50004793,2016-06-10,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,ed49b83b-32f5-48b7-b64f-fe4f007cdf0b
41477498,2016-05-11,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A,39963ee2-6a8c-4268-81ee-1dacad51c001
41103981,2014-12-31,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,69f5e2db-8145-40c6-b262-5fd185ae03ac
50041486,2016-06-11,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,,7836b748-d432-407e-9624-3e69c010050c
41571277,2013-10-28,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,14,,1883c9b1-c74d-47f4-ae49-e60fea45779b
41487544,2014-01-21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,37,,02ff5d63-04df-4e14-9b1f-c579ebc95044
40536616,2013-12-04,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,30,,6496d135-091b-4a4e-b2a6-22e74aa65bcf
41355748,2015-04-14,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,3a4e77d3-533f-4649-a503-681d02d01410
41658762,2013-08-29,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,41,C,5085686d-849b-4e7e-9a4f-aed7567d299c
41333623,2015-08-04,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,6a785dfb-cb3e-4ab7-b045-796fdffa623d
40941277,2016-04-19,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,09a8d3a3-fbf2-4d8e-a85f-6caba6d8f592
50036072,2016-02-11,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,41,,b897554d-9049-4844-a39b-7b0c58874f0b
41311922,2014-04-23,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,7,A,c84ae4ed-8032-45c8-b87e-a859b28631fb
50010022,2014-07-01,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,34,,25947ec9-42c0-4ebf-a8fa-7c2fc072cb91
41520341,2015-05-01,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,8e588ce8-1443-4c47-9484-714e30a6f261
40909425,2014-09-26,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,7,A,ddf41762-541e-4b52-8548-b93da7c6c917
40871979,2014-09-18,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21,B,ec4df341-b2ba-4869-b794-83e11b38d5cf
50006441,2014-05-16,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,afc3bbfd-3231-49ed-a024-e84666756a76
41455224,2014-04-19,22E,ROP processing equipment not approved by DOHMH.,Not Critical,0,,2118f7b9-3d2a-450d-950e-c6312c053eb7
50040510,2016-08-04,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,60,,fd1e3f61-e801-4cac-9a43-1347df16c47c
50009222,2015-10-23,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,B,3fa99ce3-725e-41b3-a640-6a82cedb59ea
41713515,2013-12-03,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,18,,86b86062-46a4-48ad-a084-91f48792a825
41322342,2014-11-26,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,18,,3337dfe2-aac0-49ca-9854-b183623c9908
41643117,2016-04-04,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,35,,86f3a01e-7118-46ee-a735-772eb1822237
41221190,2016-06-21,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility's food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,260b42f8-f10b-4089-94c0-8ef95a2b01c2
41299657,2013-06-05,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,16,,35e3fdab-ec11-42d9-adc2-2e76e6754c02
41432588,2013-10-22,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,9,A,15e46d4d-88a3-4605-b2e4-019d10a54441
