idRestaurant,name,borough,inspectionDate,grade
40373938,IHOP,BRONX,2016-08-16,
41217775,S. WAN CAFE,MANHATTAN,2013-09-25,
40808056,FEI TENG BAKERY,BROOKLYN,2014-07-17,A
40585040,CAFE RAKKA,MANHATTAN,2014-05-29,A
40694764,MANNY'S GRILL,BROOKLYN,2016-08-09,
41599815,MIKA JAPANESE CUISINE & BAR,MANHATTAN,2013-04-04,A
40991266,ITALIANISSIMO RISTORANTE,MANHATTAN,2014-11-20,
40401971,TJ BYRNE'S BAR,MANHATTAN,2014-06-19,
41521807,SARGE'S,MANHATTAN,2015-10-14,B
40553581,BOSTON MARKET,BRONX,2013-10-24,A
40835712,FIRENZE,MANHATTAN,2015-02-12,
50000510,JERUSALEM STEAKHOUSE,BROOKLYN,2014-03-03,A
40551765,MIKES PIZZA,QUEENS,2014-12-02,
40857838,DYLAN'S CANDY BAR,MANHATTAN,2016-05-12,
50016731,Malt and Mold,MANHATTAN,2016-03-02,A
50005405,XAI XAI WINE BAR,MANHATTAN,2015-06-23,
41641202,CHEN YUAN CHINESE FOOD,BROOKLYN,2015-02-17,
41576836,MADISON DELI,MANHATTAN,2015-04-10,
50001089,BLANCA/SEVERED HEADS,BROOKLYN,2013-09-12,B
41324345,KAM PO,BROOKLYN,2013-10-16,A
41668932,LOVE 69,BROOKLYN,2013-03-21,B
40678235,BOURBON STREET,QUEENS,2015-08-06,
50001516,IL SALUMAIO WINE BAR,MANHATTAN,2015-02-04,
40396889,LA ANTIOQUENA BAKERY II,QUEENS,2015-07-13,A
50006381,L'ALBERO DEI GELATI,BROOKLYN,2015-09-21,A
41279543,REAL THAI RESTAURANT,MANHATTAN,2015-11-17,A
40845757,CAFE STEINHOF,BROOKLYN,2013-09-26,
40754552,STARBUCKS,MANHATTAN,2013-02-07,
40943583,THE PRESS BOX,MANHATTAN,2016-06-02,A
50033842,RU YI BROADWAY RESTAURANT,QUEENS,2015-09-02,
50036924,ABUMI SUSHI,MANHATTAN,2016-09-14,
50008594,WHIT'S END PIZZERIA,QUEENS,2014-11-28,
50016598,DUNKIN' DONUTS,QUEENS,2016-03-31,A
41563445,GMT TAVERN,MANHATTAN,2013-12-04,
41639772,AM THAI BISTRO,BROOKLYN,2015-10-08,A
41158252,GOLDEN HORSE RESTAURANT,BRONX,2015-01-07,
41247222,THE THIRD PALM TREE,MANHATTAN,2014-05-10,A
41252528,Y J FRIED FISH,QUEENS,2015-04-10,
50005707,HANA SUSHI,BROOKLYN,2015-09-14,
41624530,PIO PIO,MANHATTAN,2015-04-09,A
40947038,POPEYES,QUEENS,2015-05-28,A
40403579,THE TAP ROOM,MANHATTAN,2013-10-09,A
40831075,MURPHY'S PUB & RESTAURANT,MANHATTAN,2015-07-30,A
41139066,HALLAL SANDWICH SHOP,QUEENS,2016-10-05,
41503714,MISS KOREA,MANHATTAN,2016-01-25,A
50006206,HUMMUS KITCHEN,MANHATTAN,2015-09-22,
50004793,THE PEACOCK/THE SHAKESPEARE,MANHATTAN,2016-06-10,A
41477498,SWEET SWEET SUE'S,STATEN ISLAND,2016-05-11,A
41103981,GRAND CAFE/ FRESH ORGANIC,QUEENS,2014-12-31,A
50041486,KIMOTO ROOFTOP,BROOKLYN,2016-06-11,
